# BATCH 02 — Eps_RooftopGarden: elevated urban garden at dusk, sculpted hedges, glass balustrade, twilight sky
# Format: prefix|char_prompt|bg_prompt
Eps_RooftopGarden_11|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settling to ankles, parted bangs, hair bun, dark flowing gown with gold-thread hem, gold accessories, purple gem, anime style, wide full-body establishing shot mid-stride along a gravel path, hem trailing in gravel, low lantern light catching her collar|ultra-wide rooftop garden twilight, gravel path leading eye toward balustrade, sculpted hedges as soft mounds, lanterns glowing amber at intervals, distant city silhouette, painterly garden atmosphere
Eps_RooftopGarden_12|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair grazing mid-thigh, parted bangs, hair bun, dark elegant dress with asymmetric hem, gold accessories, purple gem, anime style, detail shot of lower body in mid-stride, soft shoes sinking into pale gravel, hem catching dusk glow|lower-body detail, pale gravel underfoot, single side lantern glow painting her shin, slender ankle catching warm highlight, hedges receding
Eps_RooftopGarden_13|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair splaying diagonally in wind, parted bangs, hair bun tilted, dark elegant dress with high collar, gold accessories, purple gem, anime style, dutch-angle canted composition leaning right, hair trailing up-and-away, melancholy yet poised|canted-diagonal rooftop garden view, hedges tilted along dutch axis, sky streaks diagonal, lanterns askew, twilight artistic instability
Eps_RooftopGarden_14|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair mirrored on dark polished marble planter rim, parted bangs, hair bun, dark elegant dress with low back, gold accessories, purple gem, anime style, mirrored reflection in polished marble planter rim, twin-silhouette composition, twilight splitting across both|mirrored twin-figure through polished marble planter water, hedges and skyline reflected in rippled water, twilight dividing across both mirrored faces, melancholy duality
Eps_RooftopGarden_15|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair rim-lit amber-orange, parted bangs lit gold, hair bun haloed, dark dress becoming silhouette, gold accessories glinting, purple gem, anime style, backlit silhouette against setting sun rim, body shape graceful, hair strands gold-edged|backlit silhouette at rooftop garden edge, setting sun directly behind, hedges darkening, balustrade dark line crossing her waist, hair glowing like a halo, deep dusk contrast
Eps_RooftopGarden_16|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifted in soft upward draft, parted bangs, hair bun, dark elegant dress with structured shoulder, gold accessories, purple gem, anime style, gaze lifted reverently toward drifting sky lantern released moments before, mouth relaxed in serenity|rooftop garden upward gaze, sky lantern rising into violet-amber twilight, second lantern lingering at frame edge, hedges below softening into shadow, painted lanterns below
Eps_RooftopGarden_17|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair falling neatly past elbow, parted bangs, hair bun, dark elegant dress with cinched waist, gold accessories, purple gem, anime style, side waist-up view three-quarter left, slight smile looking left toward distant lantern-light, fingers touching pearl at collar|side waist-up three-quarter left, hedges as soft wall behind, distant sky lantern at frame edge catching her gaze, twilight glow on her cheek
Eps_RooftopGarden_18|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting on either shoulder, parted bangs, hair bun, dark elegant dress with high collar, gold accessories, purple gem, anime style, frontal waist-up arms lightly crossed at her waist, gaze into camera with composed warmth, lantern light catching gold ring|frontal arms-crossed on rooftop garden, soft lantern glow from below at her collar, hedges framing symmetrically, twilight depth between paired hedges receding
Eps_RooftopGarden_19|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curled back as if turning to listen, parted bangs, hair bun, dark elegant dress with thin straps and back detail, gold accessories, purple gem, anime style, three-quarter back-left pose, slight turn of head back, ribbon catching single lantern highlight|three-quarter back-left on rooftop garden, balustrade receding, twilight across her upper back, hair tip swaying with turn, lantern pinpoint reflected in her eye
Eps_RooftopGarden_20|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming sideways from breeze, parted bangs, hair bun, dark elegant dress with floating cape detail, gold accessories, purple gem, anime style, over-shoulder foreground composition, closest shoulder touching camera, blurred lantern bokeh beyond, distant gaze back at viewer|girl framed by foreground shoulder, lantern bokeh as soft stars beyond, hedges barely visible mid-ground, twilight sky above her, painterly depth
