# BATCH 04 — Eps_SkyportHall: skyport departure lounge, gate seating bays, vast glass walls, polished floors, dusk
# Format: prefix|char_prompt|bg_prompt
Eps_SkyportHall_11|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settled to knees with movement, parted bangs, hair bun, navy travel coat with flowing tails, gold accessories, purple gem, anime style, wide full-body establishing shot mid-stride down the gate concourse, tails of coat trailing, travelers blurring past|ultra-wide skyport concourse at dusk, gate bays receding in line on both sides, vast glass ceiling and walls, polished floor mirror pool extending, distant travelers as soft shapes
Eps_SkyportHall_12|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair grazing mid-thigh, parted bangs, hair bun, navy travel coat with asymmetric flap, gold accessories, purple gem, anime style, detail shot of lower body mid-stride, polished oxford shoes on mirror floor, coat flap swaying|lower-body detail on polished terrazzo floor, oxford shoe reflection visible, coat flap swaying with step, gold clasp catching amber highlight
Eps_SkyportHall_13|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair splaying diagonally in stride wind, parted bangs, hair bun tilted, navy travel coat, gold accessories, purple gem, anime style, dutch-angle canted composition leaning right, mid-stride dynamic, attentive anticipation|canted-diagonal concourse view, ceiling beams tilted along dutch axis, gate doors askew, polished floor stripes diagonal, dynamic travel tension
Eps_SkyportHall_14|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair mirrored on polished terrazzo floor, parted bangs, hair bun, navy travel coat with low back detail, gold accessories, purple gem, anime style, mirrored reflection in polished terrazzo floor, twin-figure duality with gate windows|mirrored twin-figure across polished floor, gate window glow splitting both faces, carry-satchel and gold cuff visible in both halves, elegant duality
Eps_SkyportHall_15|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair rim-lit amber from vast window behind her, parted bangs lit gold, hair bun haloed, navy travel coat becoming silhouette, gold accessories glinting, purple gem, anime style, backlit silhouette standing at gate window as skycraft descends outside|backlit silhouette at gate window, skycraft descending in twilight sky, hair rim glowing amber, polished floor reflection mirroring her dark shape in deep contrast
Eps_SkyportHall_16|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifted reverently as a soft boarding chime tone lights up, parted bangs, hair bun, navy travel coat with structured shoulder, gold accessories, purple gem, anime style, gaze lifted reverently toward the gate display announcing boarding, soft wonder|upward gaze at gate boarding display glowing amber, gate counter softly visible below, polished floor catching display glow, single boarding arrow pointer visible
Eps_SkyportHall_17|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settled neatly past elbow, parted bangs, hair bun, navy travel coat with cinched belt, gold accessories, purple gem, anime style, side waist-up view three-quarter left, slight travel smile, gaze toward gate display amber glow, ticket visible at hand|side waist-up three-quarter left, gate display amber glow catching her gaze, carry-satchel strap at shoulder, soft violet twilight rim on her cheek
Eps_SkyportHall_18|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting symmetrically on shoulders, parted bangs, hair bun, navy travel coat with high collar, gold accessories, purple gem, anime style, frontal waist-up arms lightly crossed on her lap, composed travel-ready gaze, gold belt buckle catching pinpoint|frontal arms-crossed at gate bay, gate display symmetrical behind her, gold belt buckle glint single highlight, polished floor reflection pool framing her
Eps_SkyportHall_19|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curled back as if turning to check the gate number, parted bangs, hair bun, navy travel coat with back belt detail, gold accessories, purple gem, anime style, three-quarter back-left pose, slight turn of head back, single boarding arrow highlight on her cheek|three-quarter back-left in gate bay, gate bay column in foreground, twilight glow catching her turned cheek, hair tip swaying, gold belt loop catching pinpoint
Eps_SkyportHall_20|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming sideways from gate air-screen, parted bangs, hair bun, navy travel coat with cape shoulder, gold accessories, purple gem, anime style, over-shoulder foreground composition, near shoulder touching camera, blurred gate display beyond, distant gaze back toward viewer|over-shoulder foreground at gate bay, blurred amber gate display beyond, hair strands catching twilight rim in mid-frame, polished floor pooling reflection, painterly travel depth
