# BATCH 01 — Eps_Maglev_Ride: high-speed maglev train cabin at night, panoramic windows streaking city lights
# Format: prefix|char_prompt|bg_prompt
# Hair safety: cool/silvery/ash-blue tones only — never pink/red/neon override of Epsilon's identity.
Eps_Maglev_Ride_11|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settling past hips, parted bangs, hair bun, elegant black futuristic floor-length coat, gold accessories, purple gem, anime style, wide full-body establishing shot standing at the cabin door, coat hem rippling from vent, panoramic windows framing her tiny against the streaking cityscape|ultra-wide maglev cabin interior, panoramic window wall glowing with streaking magenta cityscape, geometric ribbed ceiling, single deep shadow pooling under her, ultra-clean futuristic architecture
Eps_Maglev_Ride_12|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair grazing upper thigh, parted bangs, hair bun, elegant black futuristic outfit with cinched waist, gold accessories, purple gem, anime style, detail shot of lower body from waist down, polished knee-high boots, gold tassel on belt swaying, hem brushing seat edge|lower-body detail inside maglev cabin, polished seat fabric beneath her boots, faint window striations painting her legs in moving teal, floor strip light trailing into foreground, gold tassel catching streaks
Eps_Maglev_Ride_13|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair splayed diagonally, parted bangs, hair bun tilted, elegant black futuristic outfit, gold accessories, purple gem, anime style, dutch-angle canted composition leaning left, composed expression despite tilt, magenta window frame slicing across her face|canted-diagonal maglev cabin view, ceiling stripes tilted, window streaks diagonal, seat shadows skewed, all architectural lines echoing the dutch angle for kinetic tension
Eps_Maglev_Ride_14|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair mirroring itself on the wet steel of the cabin wall, parted bangs, hair bun, elegant black futuristic outfit, gold accessories, purple gem, anime style, mirrored reflection in polished interior steel panel, half her face in reality half in reflection, perfectly centered|two-face mirror portrait in maglev cabin, polished steel panel split reality, neon streaks running through both halves, gold accent catching light in both faces simultaneously
Eps_Maglev_Ride_15|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lit from behind in cool halo, parted bangs lit gold at edges, hair bun backlit, elegant black futuristic outfit darkened into silhouette, gold accessories glinting, purple gem, anime style, backlit silhouette against terminal-lit window, body details in shadows except hair-edge glow|backlit silhouette inside maglev cabin, terminal-station glow through far window, hair rim-lighting magenta and cyan, coat detail readable only as graphic shape, dramatic deep contrast
Eps_Maglev_Ride_16|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifting reverently, parted bangs, hair bun, elegant black futuristic outfit with high collar, gold accessories, purple gem, anime style, gaze lifted upward toward dropped ceiling projector emitting slow constellation patterns, mouth slightly open in awe|upward gaze inside maglev cabin, slow holographic constellations drifting across ceiling, soft purple projection onto her face, seat backs falling away below, awe in bent brows
Eps_Maglev_Ride_17|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair falling neatly past elbow, parted bangs, hair bun, elegant black futuristic outfit with cinched waist, gold accessories, purple gem, anime style, side waist-up view three-quarter left, slight smile, gaze toward blurred camera, one hand resting on seat-back|side waist-up inside maglev cabin, blurred seat-back foreground, long window trail beyond, soft downlight rim on shoulders, gentle conversational framing
Eps_Maglev_Ride_18|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting on either side, parted bangs, hair bun, elegant black futuristic outfit, gold accessories, purple gem, anime style, frontal waist-up arms lightly crossed against her chest, confident composed gaze, gold ring visible at folded wrist|frontal arms-crossed inside maglev cabin, geometric ceiling lights framing her head, blurred horizon streaks through window behind, gold ring catching single highlight at wrist fold
Eps_Maglev_Ride_19|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curling back as if turning, parted bangs, hair bun, elegant black futuristic outfit with low open back, gold accessories, purple gem, anime style, three-quarter back-left pose, slight turn of head, ribbon visible past shoulder, soft skin glow on her upper back|three-quarter back-left inside maglev cabin, seat-back foreground blurred, two-toned window glow falling diagonally on her bare upper back, hair tip swaying with turn, ribbon catching single highlight
Eps_Maglev_Ride_20|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming sideways, parted bangs, hair bun, elegant black futuristic outfit, gold accessories, purple gem, anime style, over-shoulder foreground composition, nearest shoulder almost touching camera, blurred raindrops on glass beyond, beautiful-but-distant gaze back over shoulder toward viewer|over-shoulder foreground shot in maglev cabin, near shoulder and hair softly blurring into foreground, raindrop-decorated window beyond with streaking terminal lights, depth-of-field pulling eye to her distant gaze
