# BATCH 05 — Eps_StreetFashion: neon-lit shopping street at night, holographic ads, fashion windows, rain-slick ground
# Format: prefix|char_prompt|bg_prompt
Eps_StreetFashion_11|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settling past her knees in long stride, parted bangs, hair bun, dark teal trench coat with flowing tails, gold accessories, purple gem, anime style, wide full-body establishing shot mid-stride across the crosswalk, coat tails trailing, pedestrians as soft motion|ultra-wide night shopping street, holo ads above shopfronts, rain-slick ground reflections stretching wide, distant pedestrians as motion streaks, fashion windows glowing in sequence
Eps_StreetFashion_12|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair grazing mid-thigh, parted bangs, hair bun, dark teal trench coat with asymmetric hem, gold accessories, purple gem, anime style, detail shot of lower body mid-stride, polished heel stepping onto rain-slick pavement, magenta puddle rippling|lower-body detail on rain-slick pavement, polished heel splashing magenta puddle ripple, asymmetric hem swaying, single raindrop clinging to skirt hem
Eps_StreetFashion_13|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair splaying diagonally in crosswind, parted bangs, hair bun tilted, dark teal trench coat with collar up, gold accessories, purple gem, anime style, dutch-angle canted composition leaning right, mid-stride dynamic, holo signs streaking diagonally|canted-diagonal street view, holo signs tilted along dutch axis, traffic lights askew, rain streaks diagonal, dynamic street tension
Eps_StreetFashion_14|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair mirrored on rain-slick pavement, parted bangs, hair bun, dark teal trench coat with low back detail, gold accessories, purple gem, anime style, mirrored reflection in rain-slick puddle, twin-figure duality with holo signs above|mirrored twin-figure across rain puddle, holo signs split between her and reflection, magenta splash breaking edges of mirror, elegant street-style duality
Eps_StreetFashion_15|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair rim-lit magenta-cyan from giant holo ad, parted bangs lit at edges, hair bun haloed, dark teal trench coat as silhouette, gold accessories glinting, purple gem, anime style, backlit silhouette standing beneath giant magenta holo, body shape graceful, rain catching neon|backlit silhouette under giant magenta holo, hair rim glowing magenta and cyan, trench coat as deep silhouette, rain streaks visible against holo backlight, deep cinematic contrast
Eps_StreetFashion_16|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifting reverently as a slow drift of cherry-petal light particles rises from holo ad, parted bangs, hair bun, dark teal trench coat with structured shoulder, gold accessories, purple gem, anime style, gaze lifted toward a slow drifting fashion holo above street, soft wonder|upward gaze at drifting fashion holo above street, holo petals drifting past her face, neon signs framing upward, rain-slick ground reflecting the holo, cinematic wonder
Eps_StreetFashion_17|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settled neatly past elbow, parted bangs, hair bun, dark teal trench coat with cinched belt, gold accessories, purple gem, anime style, side waist-up view three-quarter left, slight smile looking toward neon crosswalk signal, hand resting on tote strap|side waist-up three-quarter left, neon crosswalk signal as small green glow catching her gaze, tote strap slanting across her shoulder, soft magenta puddleglow at her feet
Eps_StreetFashion_18|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting over shoulders, parted bangs, hair bun, dark teal trench coat with high collar, gold accessories, purple gem, anime style, frontal waist-up arms lightly crossed under her lapels, confident street-ready gaze, gold belt catching pinpoint|frontal arms-crossed under lapels, fashion window reflecting her, neon sign symmetrical framing, gold belt catching single highlight, polished wet ground mirroring
Eps_StreetFashion_19|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curled back as if turning to listen for a friend, parted bangs, hair bun, dark teal trench coat with back belt detail, gold accessories, purple gem, anime style, three-quarter back-left pose, slight turn of head back, magenta neon catching her ear|three-quarter back-left on street, fashion window reflection in foreground, magenta neon catching her ear, hair tip swaying with turn, gold belt loop catching pinpoint
Eps_StreetFashion_20|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming sideways in night crosswind, parted bangs, hair bun, dark teal trench coat with cape shoulder, gold accessories, purple gem, anime style, over-shoulder foreground composition, near shoulder touching camera, blurred neon crosswalk beyond, distant gaze back toward viewer|over-shoulder foreground on rain-slick street, blurred neon crosswalk beyond, hair strands catching magenta-cyan rim in mid-frame, puddle reflection catching her silhouette, painterly street depth
